property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1473,1473,08/09/2023,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1488,1488,08/10/2023,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1498,1498,08/11/2023,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1493,1493,08/12/2023,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1493,1493,08/13/2023,True
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1743,1743,04/13/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1738,1738,04/14/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1738,1738,04/15/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1743,1743,04/16/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1743,1743,04/17/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1753,1753,04/18/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1753,1753,04/19/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1748,1748,04/20/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1743,1743,04/21/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1743,1743,04/22/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1683,1683,04/23/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1663,1663,04/24/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1658,1658,04/25/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1663,1663,04/26/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1668,1668,04/27/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1668,1668,04/28/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1673,1673,04/29/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1698,1698,04/30/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1678,1678,05/01/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1668,1668,05/02/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1658,1658,05/03/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1628,1653,05/04/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1623,1648,05/05/2024,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1623,1648,05/06/2024,True
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1833,1833,01/17/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1838,1838,01/18/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1843,1843,01/19/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1843,1843,01/20/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1843,1843,01/21/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1838,1838,01/22/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1833,1833,01/23/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1833,1833,01/24/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1833,1833,01/25/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1833,1833,01/26/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1838,1838,01/27/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1838,1838,01/28/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1823,1823,01/29/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1808,1808,01/30/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1813,1813,01/31/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1813,1813,02/01/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1813,1813,02/02/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1813,1813,02/03/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1783,1783,02/04/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1783,1783,02/05/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1778,1778,02/06/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1768,1768,02/07/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1763,1763,02/08/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1743,1743,02/09/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1723,1723,02/10/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1708,1708,02/11/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/12/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/13/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/14/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/15/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/16/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/17/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/18/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/19/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/20/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/21/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/22/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/23/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/24/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/25/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1703,1703,02/26/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1798,1798,02/27/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1803,1803,02/28/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1803,1803,03/01/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1808,1808,03/02/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1803,1803,03/03/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1808,1808,03/04/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1798,1798,03/05/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1793,1793,03/06/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1788,1788,03/07/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1788,1788,03/08/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1778,1778,03/09/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1773,1773,03/10/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1778,1778,03/11/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1788,1788,03/12/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1778,1778,03/13/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1768,1768,03/14/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1758,1758,03/15/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1738,1738,03/16/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1718,1718,03/17/2025,False
MAA Bella Casita,"Dallas-Fort Worth-Arlington, TX",01202,1x1,950,1718,1718,03/18/2025,False
