property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1573,1573,03/20/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1568,1568,03/21/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1568,1568,03/22/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1562,1562,03/23/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1562,1562,03/24/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1562,1562,03/25/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1556,1556,03/26/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1550,1550,03/27/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1544,1544,03/28/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1538,1538,03/29/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1538,1538,03/30/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1531,1531,03/31/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1525,1525,04/01/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1519,1519,04/02/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1463,1463,04/03/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1461,1461,04/04/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1466,1466,04/05/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1465,1465,04/06/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1465,1465,04/07/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1465,1465,04/08/2025,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0115,2x1,874,1465,1465,04/09/2025,True
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,09/23/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,09/24/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,09/25/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,09/26/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,09/27/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,09/28/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,09/29/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,09/30/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,10/01/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,10/02/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,10/03/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1744,1744,10/04/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1749,1749,10/05/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1749,1749,10/06/2023,False
Cypress Lake At Stonebriar,"Dallas-Fort Worth-Arlington, TX",0116,1x1,874,1749,1749,10/07/2023,False
