property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1805,1805,06/17/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1805,1805,06/18/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1805,1805,06/19/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1795,1795,06/20/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1770,1770,06/21/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1775,1775,06/22/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1790,1790,06/23/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1790,1790,06/24/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1790,1790,06/25/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1785,1785,06/26/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1800,1800,06/27/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1800,1800,06/28/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1795,1795,06/29/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1790,1790,06/30/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1785,1785,07/01/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1785,1785,07/02/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1790,1790,07/03/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1795,1795,07/04/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1790,1790,07/05/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1785,1785,07/06/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1750,1750,07/07/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1745,1745,07/08/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1755,1755,07/09/2023,False
Alton Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",1-1213,1x1,873,1755,1755,07/10/2023,False
