property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/01/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/02/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/03/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/04/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/05/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/06/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/07/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/08/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/09/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/10/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/11/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/12/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/13/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/14/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3380,3380,05/15/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3099,3099,05/16/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3099,3099,05/17/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3061,3061,05/18/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3090,3090,05/19/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3090,3090,05/20/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3090,3090,05/21/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3140,3140,05/22/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3140,3140,05/23/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3140,3140,05/24/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3140,3140,05/25/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3140,3140,05/26/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3140,3140,05/27/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3140,3140,05/28/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3170,3170,05/29/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3170,3170,05/30/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3170,3170,05/31/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3170,3170,06/01/2024,False
Boca City Walk,"Miami-Fort Lauderdale-West Palm Beach, FL",100,2x2,1133,3170,3170,06/02/2024,False
