property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/18/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/19/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/20/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/21/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/22/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/23/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/24/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/25/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/26/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/27/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/28/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/29/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/30/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,08/31/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/01/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/02/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/03/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/04/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/05/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/06/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/07/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/08/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/09/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/10/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/11/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/12/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/13/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/14/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/15/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/16/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/17/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/18/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/19/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1850,1850,09/20/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,09/21/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,09/22/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,09/23/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,09/24/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,09/25/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,09/26/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,09/27/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,09/28/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,09/29/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,09/30/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/01/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/02/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/03/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/04/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/05/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/06/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/07/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/08/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/09/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/10/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/11/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/12/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/13/2023,False
Club At Emerald Waters,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,668,1895,1895,10/14/2023,False
