property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1940,1940,08/04/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1875,1875,08/05/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1860,1860,08/06/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1845,1845,08/07/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1840,1840,08/08/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1840,1840,08/09/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1840,1840,08/10/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1840,1840,08/11/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1840,1840,08/12/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1840,1840,08/13/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1840,1840,08/14/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1775,1775,08/15/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1760,1760,08/16/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1745,1745,08/17/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/18/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/19/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/20/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/21/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/22/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/23/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/24/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/25/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/26/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/27/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/28/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/29/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/30/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,08/31/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,09/01/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,09/02/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,09/03/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,09/04/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,09/05/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,09/06/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,09/07/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,09/08/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,09/09/2023,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1740,1740,09/10/2023,True
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1775,1775,10/17/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1780,1780,10/18/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1780,1780,10/19/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1775,1775,10/20/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1790,1790,10/21/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1785,1785,10/22/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1785,1785,10/23/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1785,1785,10/24/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1785,1785,10/25/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1775,1775,10/26/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1775,1775,10/27/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1775,1775,10/28/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1775,1775,10/29/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1780,1780,10/30/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1780,1780,10/31/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1780,1780,11/01/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1775,1775,11/02/2024,False
The Deco At 5211,"Atlanta-Sandy Springs-Roswell, GA",1-176,1x1,780,1780,1780,11/03/2024,False
