property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1171,1171,08/28/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1171,1171,08/29/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1171,1171,08/30/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1171,1171,08/31/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1171,1171,09/01/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1196,1196,09/02/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1178,1178,09/03/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1178,1178,09/04/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1178,1178,09/05/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1196,1196,09/06/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1196,1196,09/07/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1196,1196,09/08/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1232,1232,09/09/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1211,1211,09/10/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1173,1173,09/11/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1173,1173,09/12/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/13/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/14/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/15/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/16/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/17/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/18/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/19/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/20/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/21/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/22/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/23/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/24/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/25/2024,False
Avana Woods,"Atlanta-Sandy Springs-Roswell, GA",101,1x1,706,1132,1132,09/26/2024,False
