property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0101,1x1,813,1989,1989,07/03/2025,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0101,1x1,813,2019,2019,07/04/2025,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0101,1x1,813,2019,2019,07/05/2025,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0101,1x1,813,2019,2019,07/06/2025,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0101,1x1,813,2019,2019,07/07/2025,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0101,1x1,813,2019,2019,07/08/2025,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0101,1x1,813,2019,2019,07/09/2025,True
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,09/20/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,09/21/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,09/22/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,09/23/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,09/24/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1919,1919,09/25/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,09/26/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,09/27/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,09/28/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,09/29/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,09/30/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,10/01/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,10/02/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,10/03/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,10/04/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,10/05/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,10/06/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1899,1899,10/07/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1879,1879,10/08/2024,False
Camden Preserve,"Tampa-St. Petersburg-Clearwater, FL",0103,1x1,813,1879,1879,10/09/2024,False
