property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2251,2814,01/29/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2251,2814,01/30/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2251,2814,01/31/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2251,2814,02/01/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2251,2814,02/02/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2230,2787,02/03/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2186,2733,02/04/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2186,2733,02/05/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2186,2733,02/06/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2186,2733,02/07/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2186,2733,02/08/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2186,2733,02/09/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2186,2733,02/10/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2186,2733,02/11/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2186,2733,02/12/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2186,2733,02/13/2025,False
The Boro - Phipps,"Atlanta-Sandy Springs-Roswell, GA",1,2x2,1774,2230,2787,02/14/2025,False
