property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1081,1179,02/27/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1113,1214,02/28/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1117,1219,03/01/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1117,1219,03/02/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1117,1219,03/03/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1131,1234,03/04/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1131,1234,03/05/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1131,1234,03/06/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1127,1229,03/07/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1127,1229,03/08/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1113,1214,03/09/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1117,1219,03/10/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1127,1229,03/11/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1145,1249,03/12/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1145,1249,03/13/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1145,1249,03/14/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1150,1254,03/15/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1136,1239,03/16/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1136,1239,03/17/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1108,1209,03/18/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1117,1219,03/19/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1113,1214,03/20/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1117,1219,03/21/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1117,1219,03/22/2025,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002201,1x1,673,1117,1219,03/23/2025,True
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1181,1223,08/23/2023,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1223,1223,08/24/2023,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1223,1223,08/25/2023,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1223,1223,08/26/2023,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1223,1223,08/27/2023,True
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1222,1333,08/16/2024,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1217,1328,08/17/2024,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1217,1328,08/18/2024,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1222,1333,08/19/2024,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1226,1338,08/20/2024,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1226,1338,08/21/2024,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1226,1338,08/22/2024,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1226,1338,08/23/2024,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1236,1348,08/24/2024,False
MAA Energy Park,"Houston-The Woodlands-Sugar Land, TX",002203,1x1,820,1249,1363,08/25/2024,False
