property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2140,2140,07/01/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2140,2140,07/02/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2140,2140,07/03/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2140,2140,07/04/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2140,2140,07/05/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2140,2140,07/06/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2140,2140,07/07/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2140,2140,07/08/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2140,2140,07/09/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2140,2140,07/10/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2075,2140,07/11/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2080,2140,07/12/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2080,2140,07/13/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2080,2140,07/14/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,2080,2140,07/15/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,1764,1995,07/16/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,1797,1995,07/17/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,1782,1995,07/18/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,1782,1995,07/19/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,1782,1995,07/20/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,1782,1995,07/21/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,1764,1995,07/22/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,1782,1995,07/23/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,1797,1995,07/24/2024,False
Axis Wellington Green,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,1x1,848,1797,1995,07/25/2024,True
