property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1706,1774,06/11/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1706,1774,06/12/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1706,1774,06/13/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1706,1774,06/14/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1706,1774,06/15/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1706,1774,06/16/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1706,1774,06/17/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1419,1774,06/18/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1419,1774,06/19/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1711,1779,06/20/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1711,1779,06/21/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1711,1779,06/22/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1711,1779,06/23/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1711,1779,06/24/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1711,1779,06/25/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,1711,1779,06/26/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,957,1779,06/27/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,957,1779,06/28/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,957,1779,06/29/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,957,1779,06/30/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,957,1779,07/01/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,957,1779,07/02/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,957,1779,07/03/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,957,1779,07/04/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,957,1779,07/05/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,957,1779,07/06/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,968,1799,07/07/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,968,1799,07/08/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,968,1799,07/09/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,973,1809,07/10/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,973,1809,07/11/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,986,1832,07/12/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,986,1832,07/13/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,986,1832,07/14/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,991,1842,07/15/2025,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",10201,1x1,937,991,1842,07/16/2025,True
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,12/21/2023,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,12/22/2023,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,12/23/2023,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,12/24/2023,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,12/25/2023,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,12/26/2023,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,12/27/2023,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,12/28/2023,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,12/29/2023,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,12/30/2023,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,12/31/2023,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,01/01/2024,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,01/02/2024,False
The Pradera,"Dallas-Fort Worth-Arlington, TX",1106,2x2,1125,2170,2212,01/03/2024,False
