property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,04/25/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,04/26/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,04/27/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,04/28/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,04/29/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,04/30/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,05/01/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,05/02/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,05/03/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,05/04/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,05/05/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,05/06/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1409,1409,05/07/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1379,1379,05/08/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1379,1379,05/09/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1379,1379,05/10/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1379,1379,05/11/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1379,1379,05/12/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1379,1379,05/13/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1379,1379,05/14/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1379,1379,05/15/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1379,1379,05/16/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1379,1379,05/17/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1339,1339,05/18/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1339,1339,05/19/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1339,1339,05/20/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1339,1339,05/21/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1339,1339,05/22/2024,False
Marquis at Perimeter Center,"Atlanta-Sandy Springs-Roswell, GA",010T,1x1,1000,1339,1339,05/23/2024,False
