property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1003,1x1,750,1203,1303,01/08/2024,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1003,1x1,750,1203,1303,01/09/2024,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1003,1x1,750,1203,1303,01/10/2024,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1003,1x1,750,1203,1303,01/11/2024,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1003,1x1,750,1203,1303,01/12/2024,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1003,1x1,750,1207,1308,01/13/2024,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1003,1x1,750,1207,1308,01/14/2024,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1003,1x1,750,1207,1308,01/15/2024,True
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1271,1271,10/17/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1239,1239,10/18/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1239,1239,10/19/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1239,1239,10/20/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1239,1239,10/21/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1239,1239,10/22/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1239,1239,10/23/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1239,1239,10/24/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1249,1249,10/25/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1268,1268,10/26/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1268,1268,10/27/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1268,1268,10/28/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1268,1268,10/29/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1268,1268,10/30/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1268,1268,10/31/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1268,1268,11/01/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1268,1268,11/02/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1333,1333,11/03/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1333,1333,11/04/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1333,1333,11/05/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1333,1333,11/06/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1222,1333,11/07/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1245,1358,11/08/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1245,1358,11/09/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1245,1358,11/10/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1245,1358,11/11/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1245,1358,11/12/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1245,1358,11/13/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1245,1358,11/14/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1217,1328,11/15/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1320,1440,11/16/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1217,1328,11/17/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1219,1330,11/18/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1219,1330,11/19/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1219,1330,11/20/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1312,1431,11/21/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1219,1330,11/22/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1201,1310,11/23/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1201,1310,11/24/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1201,1310,11/25/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1201,1310,11/26/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1201,1310,11/27/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1201,1310,11/28/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1207,1317,11/29/2023,False
Villages 3Eighty,"Dallas-Fort Worth-Arlington, TX",1004,1x1,750,1215,1325,11/30/2023,False
