property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1010,1010,10/20/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1010,1010,10/21/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1010,1010,10/22/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1010,1010,10/23/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1010,1010,10/24/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1010,1010,10/25/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,10/26/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,10/27/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,10/28/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,10/29/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,10/30/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,10/31/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/01/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/02/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/03/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/04/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/05/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/06/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/07/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/08/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/09/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/10/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/11/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/12/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/13/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/14/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/15/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/16/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/17/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/18/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/19/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/20/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/21/2023,False
Arcadian Village,"Charlotte-Concord-Gastonia, NC-SC",5700-01,1x1,675,1130,1130,11/22/2023,False
