property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2099,2099,11/15/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2099,2099,11/16/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2099,2099,11/17/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2099,2099,11/18/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2099,2099,11/19/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2099,2099,11/20/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,11/21/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,11/22/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,11/23/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,11/24/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,11/25/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,11/26/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,11/27/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,11/28/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,11/29/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,11/30/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/01/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/02/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/03/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/04/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/05/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/06/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/07/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/08/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/09/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/10/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/11/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/12/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/13/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/14/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/15/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/16/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/17/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/18/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/19/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/20/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/21/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/22/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/23/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/24/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/25/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/26/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/27/2023,False
Cortland Seven Meadows,"Houston-The Woodlands-Sugar Land, TX",1101,3x2,1380,2089,2089,12/28/2023,False
