property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2574,2574,03/19/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2574,2574,03/20/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2580,2580,03/21/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2580,2580,03/22/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2592,2592,03/23/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2598,2598,03/24/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2604,2604,03/25/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2604,2604,03/26/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2604,2604,03/27/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2608,2608,03/28/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2614,2614,03/29/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2620,2620,03/30/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2626,2626,03/31/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2632,2632,04/01/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2632,2632,04/02/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2687,2687,04/03/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2687,2687,04/04/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2693,2693,04/05/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2750,2750,04/06/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2750,2750,04/07/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2750,2750,04/08/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2750,2750,04/09/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2699,2699,04/10/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2699,2699,04/11/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2699,2699,04/12/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2699,2699,04/13/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2699,2699,04/14/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2699,2699,04/15/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2699,2699,04/16/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2758,2758,04/17/2024,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2758,2758,04/18/2024,True
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2635,2677,04/05/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2635,2677,04/06/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2682,2724,04/07/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2682,2724,04/08/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2682,2724,04/09/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2682,2724,04/10/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2682,2724,04/11/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2682,2724,04/12/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2682,2724,04/13/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2688,2730,04/14/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2694,2736,04/15/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2700,2742,04/16/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2706,2748,04/17/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2710,2752,04/18/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2710,2752,04/19/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2710,2752,04/20/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2710,2752,04/21/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2710,2752,04/22/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2710,2752,04/23/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2710,2752,04/24/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2710,2752,04/25/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2710,2752,04/26/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2710,2752,04/27/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2710,2752,04/28/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2791,2827,04/29/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2833,2833,04/30/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2839,2839,05/01/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2843,2843,05/02/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2843,2843,05/03/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2843,2843,05/04/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2849,2849,05/05/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2855,2855,05/06/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2861,2861,05/07/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2867,2867,05/08/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2871,2871,05/09/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2871,2871,05/10/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2871,2871,05/11/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2871,2871,05/12/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2824,2824,05/13/2025,False
Monarch Station,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,2x2,1135,2824,2824,05/14/2025,False
