property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603A,3x2,1524,2286,2286,04/19/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603A,3x2,1524,2286,2286,04/20/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603A,3x2,1524,2286,2286,04/21/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603A,3x2,1524,2294,2294,04/22/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603A,3x2,1524,2301,2301,04/23/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603A,3x2,1524,2284,2284,04/24/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603A,3x2,1524,2284,2284,04/25/2024,True
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/05/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/06/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/07/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/08/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/09/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/10/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/11/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/12/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/13/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/14/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/15/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/16/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/17/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/18/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/19/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/20/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/21/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/22/2024,False
Rosemont Peachtree Corners,"Atlanta-Sandy Springs-Roswell, GA",13603B,3x2,1524,1995,1995,07/23/2024,False
