property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",100,3x2,1355,2906,2906,09/01/2023,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",100,3x2,1355,2906,2906,09/02/2023,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",100,3x2,1355,2906,2906,09/03/2023,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",100,3x2,1355,2906,2906,09/04/2023,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",100,3x2,1355,2906,2906,09/05/2023,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",100,3x2,1355,2906,2906,09/06/2023,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",100,3x2,1355,2896,2896,09/07/2023,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",100,3x2,1355,2896,2896,09/08/2023,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",100,3x2,1355,2896,2896,09/09/2023,True
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,2699,2699,02/02/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,2699,2699,02/03/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,2699,2699,02/04/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,2699,2699,02/05/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,2699,2699,02/06/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,2688,2688,02/07/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,2688,2688,02/08/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,2688,2688,02/09/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,2688,2688,02/10/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,2688,2688,02/11/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,2688,2688,02/12/2024,True
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",101,3x2,1355,3137,3208,07/28/2025,True
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/01/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/02/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/03/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/04/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/05/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/06/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/07/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/08/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/09/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/10/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/11/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/12/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/13/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/14/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/15/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/16/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/17/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/18/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/19/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1661,1661,06/20/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1957,1957,06/21/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1957,1957,06/22/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1957,1957,06/23/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1957,1957,06/24/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1957,1957,06/25/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1957,1957,06/26/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1957,1957,06/27/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1957,1957,06/28/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1957,1957,06/29/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1957,1957,06/30/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1957,1957,07/01/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1924,1957,07/02/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1912,1957,07/03/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1922,1967,07/04/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1911,1947,07/05/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1911,1947,07/06/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1902,1947,07/07/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1897,1947,07/08/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1893,1926,07/09/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1899,1949,07/10/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1899,1949,07/11/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1899,1949,07/12/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1899,1949,07/13/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1899,1949,07/14/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1873,1923,07/15/2024,False
Sanctuary at Centerpointe,"Orlando-Kissimmee-Sanford, FL",102,1x1,720,1873,1923,07/16/2024,False
