property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,1935,1935,06/17/2023,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,1935,1935,06/18/2023,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,1935,1935,06/19/2023,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,1935,1935,06/20/2023,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,1935,1935,06/21/2023,True
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/02/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/03/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/04/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/05/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/06/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/07/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/08/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/09/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/10/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/11/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/12/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2416,2416,07/13/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2292,2292,07/14/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2292,2292,07/15/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2292,2292,07/16/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2292,2292,07/17/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2222,2222,07/18/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2222,2222,07/19/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2222,2222,07/20/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2222,2222,07/21/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1102,2x2,1174,2222,2222,07/22/2025,True
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1566,1697,01/25/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1484,1608,01/26/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1484,1608,01/27/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1462,1584,01/28/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1462,1584,01/29/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1580,1712,01/30/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1580,1712,01/31/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1548,1677,02/01/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1548,1677,02/02/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1531,1659,02/03/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1531,1659,02/04/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1494,1619,02/05/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1494,1619,02/06/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1494,1619,02/07/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1462,1584,02/08/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1462,1584,02/09/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1511,1637,02/10/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1511,1637,02/11/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1527,1654,02/12/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1527,1654,02/13/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1588,1720,02/14/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1610,1744,02/15/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1573,1704,02/16/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1573,1704,02/17/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1557,1687,02/18/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1589,1721,02/19/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1573,1704,02/20/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1573,1704,02/21/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1573,1704,02/22/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1573,1704,02/23/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1573,1704,02/24/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1573,1704,02/25/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1573,1704,02/26/2025,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1103,1x1,785,1573,1704,02/27/2025,True
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1104,3x2,1616,2509,2718,11/21/2024,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1104,3x2,1616,2509,2718,11/22/2024,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1104,3x2,1616,2509,2718,11/23/2024,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1104,3x2,1616,2509,2718,11/24/2024,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1104,3x2,1616,2509,2718,11/25/2024,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1104,3x2,1616,2509,2718,11/26/2024,False
Arlo Buffalo Heights,"Houston-The Woodlands-Sugar Land, TX",1104,3x2,1616,2509,2718,11/27/2024,False
