property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Cortland Hilliard,"Columbus, OH",101-4795,1x1,712,1155,1197,09/27/2023,False
Cortland Hilliard,"Columbus, OH",101-4795,1x1,712,1155,1197,09/28/2023,False
Cortland Hilliard,"Columbus, OH",101-4795,1x1,712,1197,1197,09/29/2023,False
Cortland Hilliard,"Columbus, OH",101-4795,1x1,712,1197,1197,09/30/2023,False
Cortland Hilliard,"Columbus, OH",101-4795,1x1,712,1197,1197,10/01/2023,False
Cortland Hilliard,"Columbus, OH",101-4795,1x1,712,1197,1197,10/02/2023,True
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1310,1310,02/06/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1310,1310,02/07/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1310,1310,02/08/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1310,1310,02/09/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1310,1310,02/10/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1310,1310,02/11/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1295,1295,02/12/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1295,1295,02/13/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1295,1295,02/14/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1295,1295,02/15/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1280,1280,02/16/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1280,1280,02/17/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1280,1280,02/18/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1280,1280,02/19/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1290,1290,02/20/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1290,1290,02/21/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1290,1290,02/22/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1290,1290,02/23/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1290,1290,02/24/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1290,1290,02/25/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1290,1290,02/26/2024,False
Cortland Hilliard,"Columbus, OH",101-4808,1x1,712,1290,1290,02/27/2024,False
