property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-103,1x1,750,1401,1574,06/29/2025,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-103,1x1,750,1401,1574,06/30/2025,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-103,1x1,750,1401,1574,07/01/2025,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-103,1x1,750,1401,1574,07/02/2025,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-103,1x1,750,1401,1574,07/03/2025,True
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/15/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/16/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/17/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/18/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/19/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/20/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/21/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/22/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/23/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/24/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/25/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/26/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/27/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/28/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,02/29/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,03/01/2024,False
Cortland on Cherry Creek,"Denver-Aurora-Lakewood, CO",1-104,2x2,1053,2026,2097,03/02/2024,False
