property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1440,1440,03/13/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1463,1463,03/14/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1485,1485,03/15/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1485,1485,03/16/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1485,1485,03/17/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1485,1485,03/18/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1485,1485,03/19/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1489,1489,03/20/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1461,1461,03/21/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1424,1424,03/22/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1424,1424,03/23/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1382,1382,03/24/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1382,1382,03/25/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1395,1395,03/26/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1395,1395,03/27/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1399,1399,03/28/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1399,1399,03/29/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1399,1399,03/30/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1377,1377,03/31/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1377,1377,04/01/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1377,1377,04/02/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1309,1309,04/03/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1328,1328,04/04/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1263,1263,04/05/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1325,1325,04/06/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1325,1325,04/07/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1325,1325,04/08/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1367,1367,04/09/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1367,1367,04/10/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1342,1342,04/11/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1363,1363,04/12/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1363,1363,04/13/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1363,1363,04/14/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1363,1363,04/15/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1346,1346,04/16/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1280,1280,04/17/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1336,1336,04/18/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1336,1336,04/19/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1336,1336,04/20/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1286,1286,04/21/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1286,1286,04/22/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1350,1350,04/23/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1367,1367,04/24/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1367,1367,04/25/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1367,1367,04/26/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1299,1299,04/27/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1235,1235,04/28/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1235,1235,04/29/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1235,1235,04/30/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1296,1296,05/01/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1296,1296,05/02/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1230,1230,05/03/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1230,1230,05/04/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1167,1167,05/05/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1285,1285,05/06/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1285,1285,05/07/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1285,1285,05/08/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1285,1285,05/09/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1296,1296,05/10/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1232,1232,05/11/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1232,1232,05/12/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1232,1232,05/13/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1229,1229,05/14/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1229,1229,05/15/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1290,1290,05/16/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1301,1301,05/17/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1237,1237,05/18/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1237,1237,05/19/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1298,1298,05/20/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1298,1298,05/21/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1234,1234,05/22/2024,False
Franciscan Of Arlington,"Dallas-Fort Worth-Arlington, TX",0214,1x1,751,1295,1295,05/23/2024,False
