property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1601,1601,06/17/2023,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1601,1601,06/18/2023,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1601,1601,06/19/2023,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1601,1601,06/20/2023,True
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/15/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/16/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/17/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/18/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/19/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/20/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/21/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/22/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/23/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/24/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/25/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/26/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/27/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/28/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/29/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,09/30/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,10/01/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,10/02/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,10/03/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1710,1710,10/04/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1425,1710,10/05/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1425,1710,10/06/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1425,1710,10/07/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1425,1710,10/08/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1425,1710,10/09/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1425,1710,10/10/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1425,1710,10/11/2024,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",002,2x2.5,1005,1425,1710,10/12/2024,True
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/17/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/18/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/19/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/20/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/21/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/22/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/23/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/24/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/25/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/26/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/27/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/28/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/29/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,06/30/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,07/01/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1442,1731,07/02/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1648,1731,07/03/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1648,1731,07/04/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1648,1731,07/05/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1648,1731,07/06/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1648,1731,07/07/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1648,1731,07/08/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1648,1731,07/09/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1648,1731,07/10/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1648,1731,07/11/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1648,1731,07/12/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1648,1731,07/13/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1610,1735,07/14/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1610,1735,07/15/2025,False
Park at Ashford,"Dallas-Fort Worth-Arlington, TX",003,2x2.5,1005,1610,1735,07/16/2025,False
