property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,04/25/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,04/26/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,04/27/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,04/28/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,04/29/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,04/30/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/01/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/02/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/03/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/04/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/05/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/06/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/07/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/08/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/09/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/10/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/11/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/12/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/13/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/14/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/15/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/16/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/17/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/18/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/19/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/20/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/21/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/22/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/23/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/24/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/25/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/26/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/27/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/28/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/29/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/30/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,05/31/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/01/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/02/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/03/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/04/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/05/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/06/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/07/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/08/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/09/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/10/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/11/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/12/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/13/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/14/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/15/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/16/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/17/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/18/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/19/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/20/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/21/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/22/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/23/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/24/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/25/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/26/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/27/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/28/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/29/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,06/30/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/01/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/02/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/03/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/04/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/05/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/06/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/07/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/08/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/09/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/10/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/11/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/12/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/13/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/14/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/15/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/16/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/17/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/18/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/19/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/20/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/21/2024,False
Vanguard,"Mountain Home, ID",202,0x1,364,1535,1535,07/22/2024,False
