property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1609,1609,07/21/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1609,1609,07/22/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1609,1609,07/23/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1609,1609,07/24/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1609,1609,07/25/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1609,1609,07/26/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1609,1609,07/27/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1609,1609,07/28/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1681,1681,07/29/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1707,1707,07/30/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1707,1707,07/31/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1707,1707,08/01/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1707,1707,08/02/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1671,1671,08/03/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1671,1671,08/04/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1746,1746,08/05/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1746,1746,08/06/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1642,1642,08/07/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1584,1667,08/08/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1559,1642,08/09/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1573,1656,08/10/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1573,1656,08/11/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1541,1624,08/12/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1614,1697,08/13/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1614,1697,08/14/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1649,1732,08/15/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1654,1737,08/16/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1654,1737,08/17/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1654,1737,08/18/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1672,1755,08/19/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1672,1755,08/20/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1672,1755,08/21/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1672,1755,08/22/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1608,1691,08/23/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1684,1767,08/24/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1684,1767,08/25/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1631,1714,08/26/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1708,1791,08/27/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1728,1811,08/28/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1699,1782,08/29/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1699,1782,08/30/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1699,1782,08/31/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1782,1782,09/01/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1782,1782,09/02/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1782,1782,09/03/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1701,1701,09/04/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1618,1618,09/05/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1566,1566,09/06/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1566,1566,09/07/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1566,1566,09/08/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1496,1496,09/09/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1496,1496,09/10/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1562,1562,09/11/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1562,1562,09/12/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1565,1565,09/13/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1565,1565,09/14/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1565,1565,09/15/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1574,1574,09/16/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1574,1574,09/17/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1504,1504,09/18/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1484,1484,09/19/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1484,1484,09/20/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1484,1484,09/21/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1484,1484,09/22/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1484,1484,09/23/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1484,1484,09/24/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1484,1484,09/25/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1424,1424,09/26/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1299,1424,09/27/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1299,1424,09/28/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1299,1424,09/29/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1299,1424,09/30/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1424,1424,10/01/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1424,1424,10/02/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",101,1x1,838,1424,1424,10/03/2024,True
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,1911,1911,02/21/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,1911,1911,02/22/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,2003,2003,02/23/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,2003,2003,02/24/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,2099,2099,02/25/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,2099,2099,02/26/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,2099,2099,02/27/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,2099,2099,02/28/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,2099,2099,02/29/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,2099,2099,03/01/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,1998,1998,03/02/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,1998,1998,03/03/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,1902,1902,03/04/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,1902,1902,03/05/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,1811,1811,03/06/2024,False
Park 35 on Clairmont,"Birmingham-Hoover, AL",102,2x2,1106,1989,1989,03/07/2024,False
