property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,02/27/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,02/28/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/01/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/02/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/03/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/04/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/05/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/06/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/07/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/08/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/09/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/10/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/11/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/12/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/13/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/14/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/15/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/16/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/17/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2590,2825,03/18/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/19/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/20/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/21/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/22/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/23/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/24/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/25/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/26/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/27/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/28/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/29/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/30/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,03/31/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,04/01/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,04/02/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,04/03/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,04/04/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,04/05/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,04/06/2025,False
Residences at The Grove,"Dallas-Fort Worth-Arlington, TX",1003,1x1,838,2499,2825,04/07/2025,False
