property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3107,3107,11/02/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3107,3107,11/03/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3107,3107,11/04/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3107,3107,11/05/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3107,3107,11/06/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3107,3107,11/07/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3114,3114,11/08/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3114,3114,11/09/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3114,3114,11/10/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3114,3114,11/11/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3114,3114,11/12/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3114,3114,11/13/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3114,3114,11/14/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3180,3180,11/15/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3180,3180,11/16/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3172,3172,11/17/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3172,3172,11/18/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3172,3172,11/19/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3172,3172,11/20/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3220,3220,11/21/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3220,3220,11/22/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3220,3220,11/23/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3220,3220,11/24/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3220,3220,11/25/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3220,3220,11/26/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3220,3220,11/27/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3220,3220,11/28/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3318,3318,11/29/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3389,3389,11/30/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3128,3389,12/01/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3128,3389,12/02/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3128,3389,12/03/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3128,3389,12/04/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3069,3325,12/05/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3004,3255,12/06/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2908,3151,12/07/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2908,3151,12/08/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2908,3151,12/09/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2908,3151,12/10/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2908,3151,12/11/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2908,3151,12/12/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2908,3151,12/13/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2908,3151,12/14/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2707,2933,12/15/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2728,2956,12/16/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2728,2956,12/17/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2728,2956,12/18/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2728,2956,12/19/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2728,2956,12/20/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2728,2956,12/21/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2772,3003,12/22/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2772,3003,12/23/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2772,3003,12/24/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2876,3116,12/25/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2876,3116,12/26/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2876,3116,12/27/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2876,3116,12/28/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2884,3125,12/29/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2780,3012,12/30/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2723,2950,12/31/2023,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2730,2958,01/01/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2730,2958,01/02/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2730,2958,01/03/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2730,2958,01/04/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2738,2966,01/05/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2772,3003,01/06/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2772,3003,01/07/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2830,3066,01/08/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2845,3082,01/09/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2886,3127,01/10/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2932,3176,01/11/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2932,3176,01/12/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2932,3176,01/13/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2932,3176,01/14/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2870,3109,01/15/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2870,3109,01/16/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3034,3287,01/17/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3034,3287,01/18/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3034,3287,01/19/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3034,3287,01/20/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2972,3220,01/21/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2912,3155,01/22/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2912,3155,01/23/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2902,3144,01/24/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,01/25/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,01/26/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,01/27/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,01/28/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,01/29/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,01/30/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,01/31/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,02/01/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,02/02/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,02/03/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,02/04/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,02/05/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,02/06/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2881,3121,02/07/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2930,3174,02/08/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2930,3174,02/09/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2930,3174,02/10/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2930,3174,02/11/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2930,3174,02/12/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2930,3174,02/13/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3174,3174,02/14/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3035,3156,02/15/2024,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,3035,3156,02/16/2024,True
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2946,3191,03/25/2025,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2853,3091,03/26/2025,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2853,3091,03/27/2025,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2853,3091,03/28/2025,False
Ascent Victory Park,"Dallas-Fort Worth-Arlington, TX",1000,2x2,1274,2764,2994,03/29/2025,False
