property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1785,1785,08/01/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1785,1785,08/02/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1800,1800,08/03/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1795,1795,08/04/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1800,1800,08/05/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1820,1820,08/06/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1825,1825,08/07/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1825,1825,08/08/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1815,1815,08/09/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1800,1800,08/10/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1800,1800,08/11/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1785,1785,08/12/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1785,1785,08/13/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1790,1790,08/14/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1805,1805,08/15/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1720,1720,08/16/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1725,1725,08/17/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1725,1725,08/18/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1735,1735,08/19/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1735,1735,08/20/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1730,1730,08/21/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1705,1705,08/22/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1705,1705,08/23/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1705,1705,08/24/2023,False
Windsor Parkview,"Atlanta-Sandy Springs-Roswell, GA",1101,1x1,700,1705,1705,08/25/2023,False
