property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2999,2999,11/16/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2503,2503,11/17/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2503,2503,11/18/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2503,2503,11/19/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2503,2503,11/20/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2513,2513,11/21/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2513,2513,11/22/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2304,2513,11/23/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2304,2513,11/24/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2304,2513,11/25/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2304,2513,11/26/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2304,2513,11/27/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2304,2513,11/28/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,2304,2513,11/29/2023,True
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1861,2233,03/27/2024,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1861,2233,03/28/2024,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1861,2233,03/29/2024,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1861,2233,03/30/2024,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1861,2233,03/31/2024,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1861,2233,04/01/2024,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1861,2233,04/02/2024,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1869,2243,04/03/2024,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1869,2243,04/04/2024,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1869,2243,04/05/2024,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1869,2243,04/06/2024,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",101,2x2.5,1037,1869,2243,04/07/2024,True
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",102,2x2.5,1037,2754,3004,06/17/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",102,2x2.5,1037,2754,3004,06/18/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",102,2x2.5,1037,2754,3004,06/19/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",102,2x2.5,1037,2754,3004,06/20/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",102,2x2.5,1037,2754,3004,06/21/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",102,2x2.5,1037,2754,3004,06/22/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",102,2x2.5,1037,2754,3004,06/23/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",102,2x2.5,1037,2754,3004,06/24/2023,False
MAA Optimist Park,"Charlotte-Concord-Gastonia, NC-SC",102,2x2.5,1037,2754,3004,06/25/2023,False
