property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1396,1458,04/13/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1380,1443,04/14/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1406,1468,04/15/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1426,1468,04/16/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1421,1463,04/17/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1421,1463,04/18/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1421,1463,04/19/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1416,1458,04/20/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1376,1418,04/21/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1376,1418,04/22/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1386,1428,04/23/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1396,1438,04/24/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1391,1433,04/25/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1386,1428,04/26/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1386,1428,04/27/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1371,1413,04/28/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1361,1403,04/29/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1361,1403,04/30/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1396,1438,05/01/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1396,1438,05/02/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1396,1438,05/03/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1443,1443,05/04/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1443,1443,05/05/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1406,1468,05/06/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1406,1468,05/07/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1406,1468,05/08/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1406,1468,05/09/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1406,1468,05/10/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1406,1468,05/11/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1406,1468,05/12/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1406,1468,05/13/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1406,1468,05/14/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1435,1468,05/15/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1435,1468,05/16/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1435,1468,05/17/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1435,1468,05/18/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1435,1468,05/19/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1435,1468,05/20/2024,False
MAA Haven At Blanco,"San Antonio-New Braunfels, TX",011101,2x1,1082,1435,1468,05/21/2024,False
