property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/17/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/18/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/19/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/20/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/21/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/22/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/23/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/24/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/25/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/26/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/27/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/28/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/29/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/30/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,10/31/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/01/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/02/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/03/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/04/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/05/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/06/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/07/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/08/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/09/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/10/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/11/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/12/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/13/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/14/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/15/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/16/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/17/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/18/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/19/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/20/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/21/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/22/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/23/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/24/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/25/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/26/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/27/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/28/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/29/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,11/30/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,12/01/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,12/02/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,12/03/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,12/04/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,12/05/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-248,2x2,1016,3994,3994,12/06/2024,True
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/06/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/07/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/08/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/09/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/10/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/11/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/12/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/13/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/14/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/15/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/16/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/17/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/18/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/19/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/20/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/21/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/22/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/23/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/24/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/25/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/26/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/27/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/28/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/29/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/30/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,03/31/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,04/01/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,04/02/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,04/03/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,04/04/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,04/05/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,04/06/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,04/07/2024,False
Brez at Atlantic Crossing,"Miami-Fort Lauderdale-West Palm Beach, FL",40-251,2x2,1034,3895,3895,04/08/2024,False
