property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,2018,2385,03/03/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,2018,2385,03/04/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1920,2269,03/05/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1880,2222,03/06/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1789,2115,03/07/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1789,2115,03/08/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1789,2115,03/09/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1789,2115,03/10/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1789,2115,03/11/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1789,2115,03/12/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1789,2115,03/13/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1789,2115,03/14/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1789,2115,03/15/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1822,2153,03/16/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1822,2153,03/17/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1822,2153,03/18/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1822,2153,03/19/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1910,2257,03/20/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1922,2272,03/21/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1922,2272,03/22/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1922,2272,03/23/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1922,2272,03/24/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1922,2272,03/25/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1935,2287,03/26/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1935,2287,03/27/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1935,2287,03/28/2024,False
Station At Old Town,"Dallas-Fort Worth-Arlington, TX",133,2x2,1247,1935,2287,03/29/2024,False
