property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1002,2x2,1260,1799,1799,10/07/2023,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1002,2x2,1260,1799,1799,10/08/2023,True
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1002,2x2,1260,1848,1848,03/27/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1002,2x2,1260,1848,1848,03/28/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1002,2x2,1260,1848,1848,03/29/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1002,2x2,1260,1848,1848,03/30/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1002,2x2,1260,1848,1848,03/31/2025,True
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1396,1396,02/20/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1396,1396,02/21/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,02/22/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,02/23/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,02/24/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,02/25/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,02/26/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,02/27/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,02/28/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,03/01/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,03/02/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,03/03/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,03/04/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,03/05/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,03/06/2025,False
Cortland at Fredericksburg,"San Antonio-New Braunfels, TX",1003,1x1,724,1380,1380,03/07/2025,False
