property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1349,1349,08/25/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1389,1389,08/26/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1389,1389,08/27/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1389,1389,08/28/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1399,1399,08/29/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1399,1399,08/30/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1399,1399,08/31/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1399,1399,09/01/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1399,1399,09/02/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1539,1539,09/03/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1539,1539,09/04/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1539,1539,09/05/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1519,1519,09/06/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1499,1499,09/07/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1499,1499,09/08/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1499,1499,09/09/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1499,1499,09/10/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1499,1499,09/11/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1499,1499,09/12/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1499,1499,09/13/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1439,1439,09/14/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1479,1479,09/15/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1429,1429,09/16/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1429,1429,09/17/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1429,1429,09/18/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1439,1439,09/19/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1369,1369,09/20/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1469,1469,09/21/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1469,1469,09/22/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1469,1469,09/23/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1469,1469,09/24/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1469,1469,09/25/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1469,1469,09/26/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1419,1419,09/27/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1509,1509,09/28/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1569,1569,09/29/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1519,1519,09/30/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1489,1489,10/01/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1489,1489,10/02/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1509,1509,10/03/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1629,1629,10/04/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1509,1509,10/05/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1509,1509,10/06/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1449,1449,10/07/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1469,1469,10/08/2023,False
Camden St. Clair,"Atlanta-Sandy Springs-Roswell, GA",10103,1x1,650,1469,1469,10/09/2023,False
