property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3280,3280,01/24/2024,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3270,3270,01/25/2024,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3270,3270,01/26/2024,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3270,3270,01/27/2024,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3270,3270,01/28/2024,True
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3395,3395,02/27/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,02/28/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/01/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/02/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/03/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/04/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/05/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/06/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/07/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/08/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/09/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/10/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/11/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/12/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/13/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/14/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/15/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/16/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/17/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/18/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/19/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/20/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3400,3400,03/21/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3400,3400,03/22/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3400,3400,03/23/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3405,3405,03/24/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3415,3415,03/25/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,03/26/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3430,3430,03/27/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3440,3440,03/28/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3450,3450,03/29/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3430,3430,03/30/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3430,3430,03/31/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3410,3410,04/01/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3410,3410,04/02/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3400,3400,04/03/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3400,3400,04/04/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3400,3400,04/05/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3400,3400,04/06/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3400,3400,04/07/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3400,3400,04/08/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3400,3400,04/09/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3400,3400,04/10/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3405,3405,04/11/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3410,3410,04/12/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3420,3420,04/13/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3425,3425,04/14/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3430,3430,04/15/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3440,3440,04/16/2025,False
Origin,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0300,1x1,765,3445,3445,04/17/2025,False
