property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-101,1x1,834,1924,1924,07/13/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-101,1x1,834,1924,1924,07/14/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-101,1x1,834,1924,1924,07/15/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-101,1x1,834,1924,1924,07/16/2024,True
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1424,1424,01/05/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1424,1424,01/06/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1424,1424,01/07/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1424,1424,01/08/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1424,1424,01/09/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1424,1424,01/10/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1424,1424,01/11/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/12/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/13/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/14/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/15/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/16/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/17/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/18/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/19/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/20/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/21/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/22/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/23/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/24/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1299,1299,01/25/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1249,1249,01/26/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1249,1249,01/27/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1249,1249,01/28/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1249,1249,01/29/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1249,1249,01/30/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1249,1249,01/31/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1249,1249,02/01/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1249,1249,02/02/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1249,1249,02/03/2024,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-103,0x1,475,1249,1249,02/04/2024,True
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2449,2449,06/17/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2449,2449,06/18/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2449,2449,06/19/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2449,2449,06/20/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2449,2449,06/21/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2449,2449,06/22/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2449,2449,06/23/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,06/24/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,06/25/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,06/26/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,06/27/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,06/28/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,06/29/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,06/30/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,07/01/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,07/02/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,07/03/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,07/04/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,07/05/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,07/06/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,07/07/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,07/08/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,07/09/2023,False
Bexley Silo Bend,"Nashville-Davidson-Murfreesboro-Franklin, TN",1-105,2x2,1043,2424,2424,07/10/2023,False
