property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1758,1758,08/08/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1738,1738,08/09/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1738,1738,08/10/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1738,1738,08/11/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1738,1738,08/12/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1767,1767,08/13/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1823,1823,08/14/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1767,1767,08/15/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1767,1767,08/16/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1767,1767,08/17/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1767,1767,08/18/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1767,1767,08/19/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1805,1805,08/20/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1805,1805,08/21/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1805,1805,08/22/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1683,1683,08/23/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1683,1683,08/24/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1683,1683,08/25/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1683,1683,08/26/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1682,1682,08/27/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1682,1682,08/28/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1682,1682,08/29/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1649,1649,08/30/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1682,1682,08/31/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1682,1682,09/01/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1649,1649,09/02/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1667,1667,09/03/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1001,2x2,1083,1667,1667,09/04/2024,True
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1640,1640,01/04/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1674,1674,01/05/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1722,1722,01/06/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1722,1722,01/07/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1722,1722,01/08/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1687,1687,01/09/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1635,1635,01/10/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1585,1585,01/11/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1519,1519,01/12/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1519,1519,01/13/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1519,1519,01/14/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1519,1519,01/15/2024,False
San Paulo,"Phoenix-Mesa-Scottsdale, AZ",1002,2x2,1022,1658,1658,01/16/2024,False
