property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1054,1150,08/27/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1063,1160,08/28/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1063,1160,08/29/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1063,1160,08/30/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1063,1160,08/31/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1063,1160,09/01/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1063,1160,09/02/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1063,1160,09/03/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1027,1120,09/04/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1027,1120,09/05/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1031,1125,09/06/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1031,1125,09/07/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1031,1125,09/08/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1027,1120,09/09/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1130,1130,09/10/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1130,1130,09/11/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1135,1135,09/12/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1135,1135,09/13/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1135,1135,09/14/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1140,1140,09/15/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1140,1140,09/16/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1140,1140,09/17/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1120,1120,09/18/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1125,1125,09/19/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1125,1125,09/20/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1125,1125,09/21/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1120,1120,09/22/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1120,1120,09/23/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1120,1120,09/24/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1120,1120,09/25/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1120,1120,09/26/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1115,1115,09/27/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1115,1115,09/28/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1115,1115,09/29/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1125,1125,09/30/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1120,1120,10/01/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1115,1115,10/02/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1120,1120,10/03/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1115,1115,10/04/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1115,1115,10/05/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1115,1115,10/06/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1120,1120,10/07/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1115,1115,10/08/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1115,1115,10/09/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1125,1125,10/10/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1125,1125,10/11/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1135,1135,10/12/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1135,1135,10/13/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1135,1135,10/14/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1150,1150,10/15/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1150,1150,10/16/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1150,1150,10/17/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1150,1150,10/18/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1140,1140,10/19/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1140,1140,10/20/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1140,1140,10/21/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1145,1145,10/22/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1155,1155,10/23/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1155,1155,10/24/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1155,1155,10/25/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1155,1155,10/26/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1155,1155,10/27/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1165,1165,10/28/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1165,1165,10/29/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1170,1170,10/30/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1170,1170,10/31/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1155,1155,11/01/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1165,1165,11/02/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1165,1165,11/03/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1165,1165,11/04/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1165,1165,11/05/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1170,1170,11/06/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1175,1175,11/07/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1185,1185,11/08/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1160,1160,11/09/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1160,1160,11/10/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1160,1160,11/11/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1165,1165,11/12/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1200,1200,11/13/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1195,1195,11/14/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1200,1200,11/15/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1200,1200,11/16/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1195,1195,11/17/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1195,1195,11/18/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1210,1210,11/19/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1210,1210,11/20/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1210,1210,11/21/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1210,1210,11/22/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1210,1210,11/23/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1210,1210,11/24/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1210,1210,11/25/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1205,1205,11/26/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1205,1205,11/27/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1205,1205,11/28/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1205,1205,11/29/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1205,1205,11/30/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1205,1205,12/01/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1205,1205,12/02/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1205,1205,12/03/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1185,1185,12/04/2024,False
Waterside Village,"Houston-The Woodlands-Sugar Land, TX",101,1x1,634,1185,1185,12/05/2024,False
