property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,2326,2409,02/20/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,02/21/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,02/22/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,02/23/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,02/24/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,02/25/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,02/26/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,02/27/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,02/28/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/01/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/02/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/03/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/04/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/05/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/06/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/07/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/08/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/09/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/10/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/11/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/12/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1686,1769,03/13/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1706,1789,03/14/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1706,1789,03/15/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1706,1789,03/16/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1706,1789,03/17/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1706,1789,03/18/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1706,1789,03/19/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,2416,2499,03/20/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1706,1789,03/21/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1706,1789,03/22/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1706,1789,03/23/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1014,3x2,1275,1706,1789,03/24/2025,True
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1846,1929,03/18/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/19/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/20/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/21/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/22/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/23/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/24/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/25/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/26/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/27/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/28/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/29/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/30/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,03/31/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,04/01/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1456,1539,04/02/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/03/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/04/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/05/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/06/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/07/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/08/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/09/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/10/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/11/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/12/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/13/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/14/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/15/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/16/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/17/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/18/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/19/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/20/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/21/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/22/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/23/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1539,1539,04/24/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1519,1519,04/25/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1519,1519,04/26/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1519,1519,04/27/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1519,1519,04/28/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1519,1519,04/29/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1513,1513,04/30/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1513,1513,05/01/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1513,1513,05/02/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1513,1513,05/03/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1513,1513,05/04/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1513,1513,05/05/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1513,1513,05/06/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1483,1483,05/07/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1483,1483,05/08/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1483,1483,05/09/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1483,1483,05/10/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1483,1483,05/11/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1483,1483,05/12/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1483,1483,05/13/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1483,1483,05/14/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1483,1483,05/15/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1458,1458,05/16/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1458,1458,05/17/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1458,1458,05/18/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1458,1458,05/19/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1458,1458,05/20/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1458,1458,05/21/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1112,2x2,1198,1458,1458,05/22/2025,True
Ventana,"San Antonio-New Braunfels, TX",-1116,2x2,1198,1479,1479,04/17/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1116,2x2,1198,1479,1479,04/18/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1116,2x2,1198,1479,1479,04/19/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1116,2x2,1198,1479,1479,04/20/2025,False
Ventana,"San Antonio-New Braunfels, TX",-1116,2x2,1198,1479,1479,04/21/2025,False
