property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2196,2635,09/10/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2196,2635,09/11/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2196,2635,09/12/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2196,2635,09/13/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2196,2635,09/14/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2196,2635,09/15/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2133,2560,09/16/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2117,2540,09/17/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2117,2540,09/18/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2117,2540,09/19/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2117,2540,09/20/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2117,2540,09/21/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2175,2610,09/22/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2175,2610,09/23/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2175,2610,09/24/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2175,2610,09/25/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2175,2610,09/26/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2175,2610,09/27/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2175,2610,09/28/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2175,2610,09/29/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2610,2610,09/30/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2610,2610,10/01/2023,False
Locklyn West Palm,"Miami-Fort Lauderdale-West Palm Beach, FL",101,3x2,1326,2610,2610,10/02/2023,False
