property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1776,1776,11/02/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1776,1776,11/03/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1764,1764,11/04/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1764,1764,11/05/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1764,1764,11/06/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1764,1764,11/07/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1764,1764,11/08/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1764,1764,11/09/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1617,1764,11/10/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1617,1764,11/11/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1617,1764,11/12/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1617,1764,11/13/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1247,1360,11/14/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1412,1540,11/15/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1412,1540,11/16/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1446,1578,11/17/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1446,1578,11/18/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1446,1578,11/19/2023,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1578,1578,11/20/2023,True
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1285,1335,01/17/2025,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1285,1335,01/18/2025,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1285,1335,01/19/2025,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1285,1335,01/20/2025,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1285,1335,01/21/2025,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1285,1335,01/22/2025,False
Parkfield Apartment Homes,"Denver-Aurora-Lakewood, CO",0111,1x1,706,1285,1335,01/23/2025,False
