property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2199,2199,02/20/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2199,2199,02/21/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2199,2199,02/22/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2199,2199,02/23/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2199,2199,02/24/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,02/25/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,02/26/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,02/27/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,02/28/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/01/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/02/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/03/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/04/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/05/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/06/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/07/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/08/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/09/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/10/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/11/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/12/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/13/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/14/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/15/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/16/2025,False
The Townhomes at Lake Park,"Houston-The Woodlands-Sugar Land, TX",1-0102,2x2.5,1309,2072,2199,03/17/2025,False
