property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/07/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/08/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/09/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/10/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/11/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/12/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/13/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/14/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/15/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/16/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/17/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/18/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/19/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/20/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,1960,12/21/2024,True
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/10/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/11/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/12/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/13/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/14/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/15/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/16/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/17/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/18/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/19/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/20/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/21/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/22/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/23/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/24/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/25/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/26/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/27/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/28/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/29/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/30/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,05/31/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,06/01/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,06/02/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,06/03/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,06/04/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,06/05/2025,False
The Square at Latham Park,"Columbus, OH",10-6276,2x2,1130,1880,1880,06/06/2025,False
