property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,11/26/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,11/27/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,11/28/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,11/29/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,11/30/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,12/01/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,12/02/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,12/03/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1374,1499,12/04/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1374,1499,12/05/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1374,1499,12/06/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1374,1499,12/07/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1374,1499,12/08/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1374,1499,12/09/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,12/10/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,12/11/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,12/12/2024,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01102,3x2,1270,1420,1549,12/13/2024,True
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1553,1775,04/10/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1553,1775,04/11/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1553,1775,04/12/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/13/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/14/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/15/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/16/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/17/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/18/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/19/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/20/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/21/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/22/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/23/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/24/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/25/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/26/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/27/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/28/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/29/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,04/30/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/01/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/02/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/03/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/04/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/05/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/06/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/07/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/08/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/09/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/10/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/11/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/12/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/13/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/14/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/15/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/16/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/17/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/18/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/19/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/20/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/21/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/22/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/23/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/24/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/25/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/26/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/27/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/28/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/29/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/30/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,05/31/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/01/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/02/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/03/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/04/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/05/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/06/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/07/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/08/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/09/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/10/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/11/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/12/2025,False
Vertical East Apartments *All Units Remode,"Tucson, AZ",01103,3x2,1270,1377,1574,06/13/2025,False
