property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1550,1679,12/26/2023,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1550,1679,12/27/2023,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1550,1679,12/28/2023,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1550,1679,12/29/2023,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1550,1679,12/30/2023,True
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1357,1809,09/05/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/06/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/07/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/08/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/09/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/10/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/11/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/12/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/13/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/14/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/15/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/16/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/17/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/18/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/19/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/20/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/21/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/22/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/23/2024,False
Marquis at Great Hills,"Austin-Round Rock, TX",0101,2x2,1152,1726,1809,09/24/2024,False
