property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2610,2610,04/30/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2610,2610,05/01/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2610,2610,05/02/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2610,2610,05/03/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2610,2610,05/04/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2610,2610,05/05/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2610,2610,05/06/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2610,2610,05/07/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2610,2610,05/08/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/09/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/10/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/11/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/12/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/13/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/14/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/15/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/16/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/17/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/18/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/19/2025,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-101,2x2,1501,2595,2595,05/20/2025,True
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-102,3x2,1719,3345,3345,11/12/2024,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-102,3x2,1719,3420,3420,11/13/2024,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-102,3x2,1719,3420,3420,11/14/2024,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-102,3x2,1719,3420,3420,11/15/2024,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-102,3x2,1719,3345,3345,11/16/2024,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-102,3x2,1719,3345,3345,11/17/2024,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-102,3x2,1719,3345,3345,11/18/2024,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-102,3x2,1719,3345,3345,11/19/2024,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-102,3x2,1719,3345,3345,11/20/2024,False
The Quaye at Wellington,"Miami-Fort Lauderdale-West Palm Beach, FL",01-102,3x2,1719,3345,3345,11/21/2024,False
