property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,2017,2161,07/12/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,2017,2161,07/13/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,2017,2161,07/14/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,2017,2161,07/15/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,2017,2161,07/16/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,2017,2161,07/17/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,2017,2161,07/18/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,2006,2149,07/19/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,1998,2141,07/20/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,1994,2136,07/21/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,1990,2123,07/22/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,1990,2123,07/23/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,1990,2123,07/24/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,1990,2123,07/25/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,1990,2123,07/26/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,1990,2123,07/27/2025,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-102,2x2,1026,1990,2123,07/28/2025,True
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2228,2228,05/24/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2231,2231,05/25/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2234,2234,05/26/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2234,2234,05/27/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2234,2234,05/28/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2234,2234,05/29/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2234,2234,05/30/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2234,2234,05/31/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2234,2234,06/01/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2241,2241,06/02/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2241,2241,06/03/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2241,2241,06/04/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2248,2248,06/05/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2248,2248,06/06/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2248,2248,06/07/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2248,2248,06/08/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2297,2297,06/09/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2304,2304,06/10/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2311,2311,06/11/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2296,2296,06/12/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2296,2296,06/13/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2296,2296,06/14/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2296,2296,06/15/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2296,2296,06/16/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2305,2305,06/17/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2323,2323,06/18/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2323,2323,06/19/2024,False
Waverly Terrace,"Tampa-St. Petersburg-Clearwater, FL",1-103,2x2,1102,2323,2323,06/20/2024,False
