property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1690,1690,06/17/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1690,1690,06/18/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,06/19/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1690,1690,06/20/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,06/21/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,06/22/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,06/23/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,06/24/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,06/25/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,06/26/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,06/27/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,06/28/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,06/29/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,06/30/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,07/01/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,07/02/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,07/03/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,07/04/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,07/05/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,07/06/2023,False
Aster Buckhead,"Atlanta-Sandy Springs-Roswell, GA",1003,1x1,885,1680,1680,07/07/2023,False
