property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/05/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/06/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/07/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/08/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/09/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/10/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/11/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1535,1535,09/12/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1535,1535,09/13/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1535,1535,09/14/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1535,1535,09/15/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1535,1535,09/16/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/17/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/18/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/19/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/20/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/21/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/22/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/23/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/24/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/25/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/26/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/27/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/28/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/29/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,09/30/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,10/01/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,10/02/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,10/03/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,10/04/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,10/05/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,10/06/2024,False
Pinehurst On Providence,"Charlotte-Concord-Gastonia, NC-SC",3910-B,2x1.5,1015,1450,1450,10/07/2024,False
