property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,1980,1980,02/18/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,1980,1980,02/19/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,1980,1980,02/20/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,02/21/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,02/22/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,02/23/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,02/24/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,02/25/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,02/26/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,02/27/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,02/28/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,02/29/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,03/01/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,03/02/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,03/03/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,03/04/2024,False
Bella Victoria,"Phoenix-Mesa-Scottsdale, AZ",1001-C,2x2,1014,3800,3800,03/05/2024,False
