property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2283,2325,09/13/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2283,2325,09/14/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2283,2325,09/15/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2283,2325,09/16/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2283,2325,09/17/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2283,2325,09/18/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2283,2325,09/19/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2208,2250,09/20/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2208,2250,09/21/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2208,2250,09/22/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2208,2250,09/23/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2208,2250,09/24/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2208,2250,09/25/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2208,2250,09/26/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2133,2175,09/27/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2133,2175,09/28/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2133,2175,09/29/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2133,2175,09/30/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2133,2175,10/01/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2133,2175,10/02/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2133,2175,10/03/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2058,2100,10/04/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2083,2125,10/05/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2083,2125,10/06/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2083,2125,10/07/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2083,2125,10/08/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2083,2125,10/09/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2083,2125,10/10/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2103,2145,10/11/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2103,2145,10/12/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2103,2145,10/13/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2103,2145,10/14/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2103,2145,10/15/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2103,2145,10/16/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2103,2145,10/17/2023,False
The Uptown,"Dallas-Fort Worth-Arlington, TX",F201,2x2,965,2053,2095,10/18/2023,False
