property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1527,1527,10/03/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1448,1448,10/04/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1448,1448,10/05/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1448,1448,10/06/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1471,1471,10/07/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1612,1612,10/08/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1612,1612,10/09/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1612,1612,10/10/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1525,1525,10/11/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1525,1525,10/12/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1525,1525,10/13/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1525,1525,10/14/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1525,1525,10/15/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1525,1525,10/16/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1502,1502,10/17/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1502,1502,10/18/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1502,1502,10/19/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1566,1566,10/20/2024,False
The Fairways at Lake Mary,"Orlando-Kissimmee-Sanford, FL",02-100,1x1,880,1652,1652,10/21/2024,False
