property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,2006,2006,03/09/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,2006,2006,03/10/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,2006,2006,03/11/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,2006,2006,03/12/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1873,1873,03/13/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1873,1873,03/14/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1999,1999,03/15/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1985,1985,03/16/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1985,1985,03/17/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1882,1882,03/18/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1882,1882,03/19/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1817,1817,03/20/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1819,1819,03/21/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1819,1819,03/22/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1819,1819,03/23/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1819,1819,03/24/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1794,1794,03/25/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1756,1756,03/26/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1695,1695,03/27/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1784,1784,03/28/2024,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1784,1784,03/29/2024,True
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1845,1845,02/18/2025,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1845,1845,02/19/2025,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1845,1845,02/20/2025,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1845,1845,02/21/2025,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1845,1845,02/22/2025,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1845,1845,02/23/2025,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1845,1845,02/24/2025,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1845,1845,02/25/2025,False
L2 Uptown,"Dallas-Fort Worth-Arlington, TX",1104,1x1,796,1845,1845,02/26/2025,False
