property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10101,2x2,1137,2072,2072,02/20/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10101,2x2,1137,2078,2078,02/21/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10101,2x2,1137,2078,2078,02/22/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10101,2x2,1137,2078,2078,02/23/2024,True
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10104,1x1,791,1493,1493,02/27/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10104,1x1,791,1493,1493,02/28/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10104,1x1,791,1493,1493,02/29/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10104,1x1,791,1545,1545,03/01/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10104,1x1,791,1545,1545,03/02/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10104,1x1,791,1545,1545,03/03/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10104,1x1,791,1545,1545,03/04/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10104,1x1,791,1545,1545,03/05/2024,True
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1679,1679,04/05/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1649,1649,04/06/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1649,1649,04/07/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1649,1649,04/08/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1649,1649,04/09/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1649,1649,04/10/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1649,1649,04/11/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1624,1624,04/12/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1624,1624,04/13/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1624,1624,04/14/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1624,1624,04/15/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1624,1624,04/16/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1554,1554,04/17/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1554,1554,04/18/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1554,1554,04/19/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1554,1554,04/20/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1554,1554,04/21/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1554,1554,04/22/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1554,1554,04/23/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1554,1554,04/24/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1554,1554,04/25/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1524,1524,04/26/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1524,1524,04/27/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1524,1524,04/28/2024,False
Cortland on Coyote Ridge,"Dallas-Fort Worth-Arlington, TX",10105,1x1,791,1524,1524,04/29/2024,False
